Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.30747908123777223
75% Corpus,2,0.01,0.31,0.3061824151423157
75% Corpus,2,0.01,0.61,0.3090908678426115
75% Corpus,2,0.01,0.9099999999999999,0.3119655332254402
75% Corpus,2,0.01,symmetric,0.3090908678426115
75% Corpus,2,0.31,0.01,0.30747908123777223
75% Corpus,2,0.31,0.31,0.3061824151423157
75% Corpus,2,0.31,0.61,0.3090908678426115
75% Corpus,2,0.31,0.9099999999999999,0.3119655332254402
75% Corpus,2,0.31,symmetric,0.3090908678426115
75% Corpus,2,0.61,0.01,0.30747908123777223
75% Corpus,2,0.61,0.31,0.3061824151423157
75% Corpus,2,0.61,0.61,0.3090908678426115
75% Corpus,2,0.61,0.9099999999999999,0.3119655332254402
75% Corpus,2,0.61,symmetric,0.3090908678426115
75% Corpus,2,0.9099999999999999,0.01,0.3074790812377723
75% Corpus,2,0.9099999999999999,0.31,0.3061824151423157
75% Corpus,2,0.9099999999999999,0.61,0.3090908678426116
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3119655332254402
75% Corpus,2,0.9099999999999999,symmetric,0.3090908678426115
75% Corpus,2,symmetric,0.01,0.30747908123777223
75% Corpus,2,symmetric,0.31,0.3061824151423157
75% Corpus,2,symmetric,0.61,0.3090908678426115
75% Corpus,2,symmetric,0.9099999999999999,0.3119655332254402
75% Corpus,2,symmetric,symmetric,0.3090908678426115
75% Corpus,2,asymmetric,0.01,0.30747908123777223
75% Corpus,2,asymmetric,0.31,0.3061824151423157
75% Corpus,2,asymmetric,0.61,0.3090908678426115
75% Corpus,2,asymmetric,0.9099999999999999,0.3119655332254402
75% Corpus,2,asymmetric,symmetric,0.3090908678426115
75% Corpus,3,0.01,0.01,0.2731164514391541
75% Corpus,3,0.01,0.31,0.2780405731854285
75% Corpus,3,0.01,0.61,0.27296879875713326
75% Corpus,3,0.01,0.9099999999999999,0.2748353060867282
75% Corpus,3,0.01,symmetric,0.2780405731854285
75% Corpus,3,0.31,0.01,0.2731164514391541
75% Corpus,3,0.31,0.31,0.2780405731854285
75% Corpus,3,0.31,0.61,0.26596011155965854
75% Corpus,3,0.31,0.9099999999999999,0.2748353060867282
75% Corpus,3,0.31,symmetric,0.2780405731854285
75% Corpus,3,0.61,0.01,0.2731164514391541
75% Corpus,3,0.61,0.31,0.2780405731854285
75% Corpus,3,0.61,0.61,0.265736927649782
75% Corpus,3,0.61,0.9099999999999999,0.2748353060867282
75% Corpus,3,0.61,symmetric,0.2780405731854285
75% Corpus,3,0.9099999999999999,0.01,0.2731164514391541
75% Corpus,3,0.9099999999999999,0.31,0.2780405731854285
75% Corpus,3,0.9099999999999999,0.61,0.265736927649782
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.27483530608672824
75% Corpus,3,0.9099999999999999,symmetric,0.2780405731854285
75% Corpus,3,symmetric,0.01,0.2731164514391541
75% Corpus,3,symmetric,0.31,0.2780405731854285
75% Corpus,3,symmetric,0.61,0.26596011155965854
75% Corpus,3,symmetric,0.9099999999999999,0.2748353060867282
75% Corpus,3,symmetric,symmetric,0.2780405731854285
75% Corpus,3,asymmetric,0.01,0.2731164514391541
75% Corpus,3,asymmetric,0.31,0.2780405731854285
75% Corpus,3,asymmetric,0.61,0.2658336820242262
75% Corpus,3,asymmetric,0.9099999999999999,0.2748353060867282
75% Corpus,3,asymmetric,symmetric,0.2780405731854285
75% Corpus,4,0.01,0.01,0.2768610632006118
75% Corpus,4,0.01,0.31,0.2781060188660391
75% Corpus,4,0.01,0.61,0.2795500126496983
75% Corpus,4,0.01,0.9099999999999999,0.2691891512212999
75% Corpus,4,0.01,symmetric,0.2779310706551814
75% Corpus,4,0.31,0.01,0.2768610632006118
75% Corpus,4,0.31,0.31,0.2781060188660391
75% Corpus,4,0.31,0.61,0.28269742272602233
75% Corpus,4,0.31,0.9099999999999999,0.27471723761168176
75% Corpus,4,0.31,symmetric,0.27793107065518136
75% Corpus,4,0.61,0.01,0.2768610632006118
75% Corpus,4,0.61,0.31,0.2810713506144303
75% Corpus,4,0.61,0.61,0.28461736078151273
75% Corpus,4,0.61,0.9099999999999999,0.2747172376116818
75% Corpus,4,0.61,symmetric,0.2810713506144303
75% Corpus,4,0.9099999999999999,0.01,0.2800013431598607
75% Corpus,4,0.9099999999999999,0.31,0.2810713506144303
75% Corpus,4,0.9099999999999999,0.61,0.28461736078151273
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.27471723761168176
75% Corpus,4,0.9099999999999999,symmetric,0.2856460554902551
75% Corpus,4,symmetric,0.01,0.2768610632006118
75% Corpus,4,symmetric,0.31,0.2781060188660391
75% Corpus,4,symmetric,0.61,0.28269742272602233
75% Corpus,4,symmetric,0.9099999999999999,0.27471723761168176
75% Corpus,4,symmetric,symmetric,0.27793107065518136
75% Corpus,4,asymmetric,0.01,0.2768610632006118
75% Corpus,4,asymmetric,0.31,0.2781060188660391
75% Corpus,4,asymmetric,0.61,0.28215387607863734
75% Corpus,4,asymmetric,0.9099999999999999,0.26361971865435063
75% Corpus,4,asymmetric,symmetric,0.2795310910273946
75% Corpus,5,0.01,0.01,0.25945095771415894
75% Corpus,5,0.01,0.31,0.27045781714612616
